Lentil GH logger
                    	Temperature (*C)	Temperature (*C)	Temperature (*C)	RH (%)	Dew Point (*C)
                    	*C	*C	*C	%	*C
Date and Time   	TMPD	TMPA	TMP	HMD	DEW
2020-10-21 08:00		19.8	21.6	96.1	21.0
2020-10-21 08:30		20.5	21.9	96.6	21.3
2020-10-21 09:00		20.7	21.7	96.9	21.2
2020-10-21 09:30		21.2	21.9	97.4	21.5
2020-10-21 10:00		22.1	23.0	98.6	22.8
2020-10-21 10:30		22.0	23.7	98.2	23.4
2020-10-21 11:00		21.1	23.2	95.7	22.5
2020-10-21 11:30		20.6	23.4	93.5	22.3
2020-10-21 12:00		21.1	24.0	90.1	22.3
2020-10-21 12:30		21.6	25.0	66.3	18.3
2020-10-21 13:00		21.0	25.3	44.3	12.3
2020-10-21 13:30		20.2	24.2	31.7	6.3
2020-10-21 14:00		21.8	23.5	42.0	9.8
2020-10-21 14:30		22.7	24.0	44.3	11.1
2020-10-21 15:00		21.2	24.2	44.4	11.3
2020-10-21 15:30		21.7	23.8	47.6	12.0
2020-10-21 16:00		21.1	23.2	52.3	12.9
2020-10-21 16:30		22.3	23.4	54.4	13.7
2020-10-21 17:00		21.8	24.5	46.8	12.4
2020-10-21 17:30		22.7	25.0	48.1	13.3
2020-10-21 18:00		22.3	25.1	49.6	13.8
2020-10-21 18:30		21.8	24.7	50.9	13.9
2020-10-21 19:00		21.5	24.3	51.8	13.8
2020-10-21 19:30		21.1	23.8	52.5	13.5
2020-10-21 20:00		20.7	23.5	54.0	13.7
2020-10-21 20:30		20.4	23.2	55.4	13.8
2020-10-21 21:00		20.2	23.0	54.7	13.4
2020-10-21 21:30		20.0	22.8	55.4	13.4
2020-10-21 22:00		20.0	22.7	56.0	13.5
2020-10-21 22:30		19.4	22.5	55.5	13.1
2020-10-21 23:00		21.9	22.6	54.0	12.8
2020-10-21 23:30		19.6	22.2	53.1	12.2
2020-10-22 00:00		22.0	22.0	54.4	12.4
2020-10-22 00:30		20.1	22.5	50.6	11.7
2020-10-22 01:00		20.5	21.5	53.6	11.7
2020-10-22 01:30		20.1	22.3	50.3	11.5
2020-10-22 02:00		20.2	21.3	53.8	11.6
2020-10-22 02:30		20.8	22.6	49.4	11.5
2020-10-22 03:00		19.1	21.6	51.8	11.3
2020-10-22 03:30		20.5	22.2	48.6	10.9
2020-10-22 04:00		21.3	21.9	50.5	11.2
2020-10-22 04:30		19.6	22.0	48.4	10.6
2020-10-22 05:00		21.7	22.5	48.4	11.1
2020-10-22 05:30		19.3	21.7	50.0	10.8
2020-10-22 06:00		19.7	21.9	48.4	10.5
2020-10-22 06:30		20.5	22.0	91.3	20.5
2020-10-22 07:00		19.5	21.6	93.1	20.4
2020-10-22 07:30		19.7	21.3	94.1	20.3
2020-10-22 08:00		20.4	21.3	94.7	20.4
2020-10-22 08:30		21.5	21.7	95.2	20.9
2020-10-22 09:00		20.9	22.1	95.5	21.3
2020-10-22 09:30		23.4	21.5	93.9	20.5
2020-10-22 10:00		23.9	22.5	93.6	21.4
2020-10-22 10:30		23.7	23.0	91.3	21.5
2020-10-22 11:00		23.8	23.2	90.1	21.5
2020-10-22 11:30		24.0	23.5	87.5	21.3
2020-10-22 12:00		24.1	23.7	72.8	18.5
2020-10-22 12:30		24.2	23.9	48.5	12.4
2020-10-22 13:00		24.6	24.5	40.3	10.1
2020-10-22 13:30		24.7	25.0	35.7	8.8
2020-10-22 14:00		24.8	25.3	34.2	8.4
2020-10-22 14:30		24.8	25.4	32.6	7.8
2020-10-22 15:00		24.8	25.5	30.6	6.9
2020-10-22 15:30		24.6	25.5	29.2	6.3
2020-10-22 16:00		24.4	25.5	25.7	4.4
2020-10-22 16:30		23.9	25.2	24.5	3.5
2020-10-22 17:00		24.3	25.2	25.8	4.2
2020-10-22 17:30		24.6	25.4	26.3	4.7
2020-10-22 18:00		24.7	25.6	26.5	4.9
2020-10-22 18:30		24.8	25.6	26.3	4.8
2020-10-22 19:00		24.8	25.7	26.6	5.1
2020-10-22 19:30		24.8	25.7	26.7	5.1
2020-10-22 20:00		24.8	25.6	26.7	5.0
2020-10-22 20:30		24.7	25.6	26.8	5.1
2020-10-22 21:00		24.7	25.6	26.7	5.0
2020-10-22 21:30		24.6	25.6	26.6	5.0
2020-10-22 22:00		24.6	25.5	26.8	5.0
2020-10-22 22:30		24.5	25.6	26.6	5.0
2020-10-22 23:00		24.5	25.6	26.6	5.0
2020-10-22 23:30		24.4	25.5	26.1	4.6
2020-10-23 00:00		24.3	25.3	26.2	4.5
2020-10-23 00:30		24.2	25.2	26.2	4.4
2020-10-23 01:00		24.1	25.2	26.2	4.4
2020-10-23 01:30		24.1	25.1	26.1	4.3
2020-10-23 02:00		24.0	25.0	26.0	4.2
2020-10-23 02:30		23.9	25.0	25.8	4.0
2020-10-23 03:00		23.9	25.0	25.7	4.0
2020-10-23 03:30		23.7	24.9	25.7	3.9
2020-10-23 04:00		23.7	24.9	25.6	3.8
2020-10-23 04:30		23.6	24.8	25.5	3.7
2020-10-23 05:00		23.4	24.7	25.5	3.6
2020-10-23 05:30		23.3	24.6	25.6	3.6
2020-10-23 06:00		23.3	24.5	25.5	3.5
2020-10-23 06:30		23.2	24.4	25.5	3.4
2020-10-23 07:00		23.2	24.4	25.3	3.3
2020-10-23 07:30		23.1	24.4	25.6	3.4
2020-10-23 08:00		23.2	24.4	29.7	5.5
2020-10-23 08:30		23.5	24.5	28.8	5.2
2020-10-23 09:00		23.7	24.6	29.1	5.4
2020-10-23 09:30		23.6	24.8	28.1	5.1
2020-10-23 10:00		23.9	25.0	28.3	5.4
2020-10-23 10:30		24.0	25.0	29.2	5.8
2020-10-23 11:00		24.1	25.1	28.3	5.5
2020-10-23 11:30		23.7	25.0	29.2	5.8
2020-10-23 12:00		23.9	25.0	28.1	5.3
2020-10-23 12:30		23.5	24.9	26.3	4.2
2020-10-23 13:00		23.8	24.9	25.7	3.9
2020-10-23 13:30		23.8	24.9	26.7	4.4
2020-10-23 14:00		24.0	25.0	27.5	5.0
2020-10-23 14:30		24.1	25.1	27.6	5.1
2020-10-23 15:00		24.2	25.1	28.0	5.3
2020-10-23 15:30		24.0	25.2	32.7	7.6
2020-10-23 16:00		24.4	25.3	36.3	9.3
2020-10-23 16:30		24.5	25.5	34.8	8.8
2020-10-23 17:00		24.5	25.5	32.1	7.6
2020-10-23 17:30		24.3	25.4	29.7	6.4
2020-10-23 18:00		24.1	25.3	28.6	5.8
2020-10-23 18:30		24.0	25.2	27.7	5.2
2020-10-23 19:00		24.0	25.1	27.3	4.9
2020-10-23 19:30		24.0	25.1	27.0	4.8
2020-10-23 20:00		23.9	25.0	26.7	4.5
2020-10-23 20:30		23.9	25.0	27.1	4.7
2020-10-23 21:00		24.0	25.0	27.5	5.0
2020-10-23 21:30		24.0	25.0	28.0	5.2
2020-10-23 22:00		24.0	25.0	28.0	5.2
2020-10-23 22:30		24.1	25.1	28.2	5.4
2020-10-23 23:00		24.2	25.2	29.1	5.9
2020-10-23 23:30		24.2	25.2	30.0	6.4
2020-10-24 00:00		24.0	25.1	30.2	6.4
2020-10-24 00:30		23.8	25.0	30.3	6.4
2020-10-24 01:00		23.7	24.8	30.3	6.2
2020-10-24 01:30		23.6	24.7	30.2	6.0
2020-10-24 02:00		23.5	24.6	30.1	5.9
2020-10-24 02:30		23.5	24.6	30.0	5.9
2020-10-24 03:00		23.6	24.6	29.7	5.7
2020-10-24 03:30		23.7	24.7	29.6	5.8
2020-10-24 04:00		23.8	24.8	29.2	5.6
2020-10-24 04:30		23.9	24.9	28.7	5.5
2020-10-24 05:00		23.9	25.0	28.6	5.5
2020-10-24 05:30		23.9	25.0	28.3	5.4
2020-10-24 06:00		23.9	25.0	28.3	5.4
2020-10-24 06:30		23.9	25.0	28.6	5.5
2020-10-24 07:00		23.9	25.0	28.6	5.5
2020-10-24 07:30		23.9	25.0	28.5	5.5
2020-10-24 08:00		23.9	25.0	28.5	5.5
2020-10-24 08:30		23.8	25.0	28.3	5.4
2020-10-24 09:00		23.8	25.0	28.3	5.4
2020-10-24 09:30		23.7	24.9	27.7	5.0
2020-10-24 10:00		23.4	24.9	26.6	4.4
2020-10-24 10:30		23.3	24.7	26.0	3.9
2020-10-24 11:00		23.3	24.6	25.6	3.6
2020-10-24 11:30		23.3	24.6	25.1	3.3
2020-10-24 12:00		23.3	24.5	24.7	3.0
2020-10-24 12:30		23.3	24.5	24.3	2.8
2020-10-24 13:00		23.2	24.5	24.0	2.6
2020-10-24 13:30		23.3	24.5	23.5	2.3
2020-10-24 14:00		23.4	24.5	22.9	1.9
2020-10-24 14:30		23.4	24.6	22.1	1.5
2020-10-24 15:00		23.4	24.7	21.7	1.3
2020-10-24 15:30		23.3	24.7	21.0	0.9
2020-10-24 16:00		23.4	24.6	20.6	0.5
2020-10-24 16:30		23.4	24.6	20.2	0.3
2020-10-24 17:00		23.2	24.6	20.0	0.1
2020-10-24 17:30		23.1	24.5	19.9	0.0
2020-10-24 18:00		23.2	24.4	20.0	0.0
2020-10-24 18:30		23.3	24.5	20.2	0.2
2020-10-24 19:00		23.3	24.5	20.4	0.3
2020-10-24 19:30		23.3	24.5	20.7	0.5
2020-10-24 20:00		23.0	24.4	20.4	0.2
2020-10-24 20:30		22.8	24.3	20.0	-0.1
2020-10-24 21:00		22.8	24.3	20.2	0.0
2020-10-24 21:30		22.7	24.2	20.4	0.1
2020-10-24 22:00		22.9	24.2	20.4	0.1
2020-10-24 22:30		22.9	24.2	20.5	0.1
2020-10-24 23:00		22.9	24.2	20.4	0.1
2020-10-24 23:30		22.9	24.2	20.4	0.1
2020-10-25 00:00		23.0	24.2	20.9	0.4
2020-10-25 00:30		23.0	24.2	21.0	0.5
2020-10-25 01:00		22.8	24.2	20.7	0.3
2020-10-25 01:30		22.8	24.1	20.5	0.1
2020-10-25 02:00		22.8	24.1	20.5	0.1
2020-10-25 02:30		22.6	24.0	20.0	-0.4
2020-10-25 03:00		22.6	23.9	19.9	-0.5
2020-10-25 03:30		22.5	23.9	19.6	-0.7
2020-10-25 04:00		22.5	23.8	19.5	-0.9
2020-10-25 04:30		22.4	23.8	19.5	-0.9
2020-10-25 05:00		22.4	23.8	19.7	-0.7
2020-10-25 05:30		22.2	23.8	19.5	-0.9
2020-10-25 06:00		22.1	23.7	19.1	-1.2
2020-10-25 06:30		21.8	23.5	18.9	-1.5
2020-10-25 07:00		21.7	23.4	18.5	-1.9
2020-10-25 07:30		21.7	23.3	18.4	-2.1
2020-10-25 08:00		21.6	23.2	18.1	-2.4
2020-10-25 08:30		21.5	23.2	18.1	-2.4
2020-10-25 09:00		21.7	23.2	18.0	-2.5
2020-10-25 09:30		21.7	23.2	18.0	-2.5
2020-10-25 10:00		21.8	23.2	17.7	-2.7
2020-10-25 10:30		21.9	23.3	17.6	-2.7
2020-10-25 11:00		21.7	23.3	17.2	-3.0
2020-10-25 11:30		21.7	23.3	17.0	-3.1
2020-10-25 12:00		21.7	23.3	16.5	-3.5
2020-10-25 12:30		21.9	23.3	16.2	-3.8
2020-10-25 13:00		21.8	23.3	16.1	-3.9
2020-10-25 13:30		21.7	23.3	15.6	-4.3
2020-10-25 14:00		22.0	23.4	15.9	-4.0
2020-10-25 14:30		22.3	23.6	16.1	-3.6
2020-10-25 15:00		22.5	23.8	16.4	-3.2
2020-10-25 15:30		22.7	23.9	16.5	-3.1
2020-10-25 16:00		22.7	24.0	16.4	-3.1
2020-10-25 16:30		22.7	24.0	16.4	-3.1
2020-10-25 17:00		22.8	24.1	16.2	-3.1
2020-10-25 17:30		22.7	24.1	17.0	-2.5
2020-10-25 18:00		22.8	24.1	17.7	-2.0
2020-10-25 18:30		22.8	24.1	18.5	-1.3
2020-10-25 19:00		22.8	24.1	18.9	-1.1
2020-10-25 19:30		22.8	24.1	19.1	-0.9
2020-10-25 20:00		22.6	24.0	19.5	-0.7
2020-10-25 20:30		22.5	23.9	19.6	-0.7
2020-10-25 21:00		22.4	23.8	20.0	-0.5
2020-10-25 21:30		22.3	23.8	19.7	-0.7
2020-10-25 22:00		22.1	23.7	19.4	-1.0
2020-10-25 22:30		22.0	23.6	19.5	-1.0
2020-10-25 23:00		22.0	23.5	19.7	-1.0
2020-10-25 23:30		21.9	23.4	19.9	-0.9
2020-10-26 00:00		21.8	23.3	19.5	-1.3
2020-10-26 00:30		21.7	23.2	19.7	-1.2
2020-10-26 01:00		21.6	23.2	19.7	-1.2
2020-10-26 01:30		21.6	23.1	19.9	-1.2
2020-10-26 02:00		21.5	23.0	19.9	-1.3
2020-10-26 02:30		21.4	23.0	19.9	-1.3
2020-10-26 03:00		21.3	22.9	19.7	-1.5
2020-10-26 03:30		21.4	22.9	20.0	-1.3
2020-10-26 04:00		21.4	22.9	20.1	-1.2
2020-10-26 04:30		21.3	22.9	20.1	-1.2
2020-10-26 05:00		21.3	22.9	20.6	-0.9
2020-10-26 05:30		21.4	22.9	21.2	-0.5
2020-10-26 06:00		21.4	22.9	21.4	-0.3
2020-10-26 06:30		21.4	22.9	21.5	-0.3
2020-10-26 07:00		21.4	22.9	21.9	0.0
2020-10-26 07:30		21.3	22.9	21.9	0.0
2020-10-26 08:00		21.4	22.9	22.2	0.2
2020-10-26 08:30		21.5	22.9	22.2	0.2
2020-10-26 09:00		15.7	19.3	24.8	-1.4
2020-10-26 09:30		19.7	18.8	27.6	-0.3
2020-10-26 10:00		20.8	18.9	28.6	0.3
2020-10-26 10:30		21.7	19.5	29.3	1.1
2020-10-26 11:00		22.3	20.0	29.6	1.7
2020-10-26 11:30		22.8	20.3	29.8	2.0
2020-10-26 12:00		23.2	20.7	30.0	2.5
2020-10-26 12:30		23.5	20.9	29.5	2.4
2020-10-26 13:00		23.5	21.0	29.8	2.7
2020-10-26 13:30		23.5	21.0	29.6	2.6
2020-10-26 14:00		23.6	20.9	30.9	3.1
2020-10-26 14:30		23.6	20.8	31.4	3.2
2020-10-26 15:00		23.5	20.7	31.7	3.3
2020-10-26 15:30		23.5	20.7	31.9	3.4
2020-10-26 16:00		23.3	20.6	31.6	3.1
2020-10-26 16:30		23.3	20.6	31.8	3.2
